tid,title,url,imdbRating,duration,year,nrOfWins,nrOfNominations
tt0457430,Pans Labyrinth (2006),http://www.imdb.com/title/tt0457430/,8.3,7080,2006,76,63
tt0468569,The Dark Knight (2008),http://www.imdb.com/title/tt0468569/,9,9120,2008,94,69
tt0469494,There Will Be Blood (2007),http://www.imdb.com/title/tt0469494/,8.1,9480,2007,74,58
tt0477348,No Country for Old Men (2007),http://www.imdb.com/title/tt0477348/,8.2,7320,2007,110,51
tt0482571,Prestige - Die Meister der Magie (2006),http://www.imdb.com/title/tt0482571/,8.5,7800,2006,4,17
tt0758758,Into the Wild (2007),http://www.imdb.com/title/tt0758758/,8.2,8880,2007,18,43
tt0796366,Star Trek (2009),http://www.imdb.com/title/tt0796366/,8.1,7620,2009,19,47
tt0848228,Marvel's The Avengers (2012),http://www.imdb.com/title/tt0848228/,8.2,8580,2012,22,55
tt0892769,Drachenzähmen leicht gemacht (2010),http://www.imdb.com/title/tt0892769/,8.2,5880,2010,19,32
tt0910970,WALL·E - Der letzte räumt die Erde auf (2008),http://www.imdb.com/title/tt0910970/,8.5,5880,2008,52,49
tt0947798,Black Swan (2010),http://www.imdb.com/title/tt0947798/,8.1,6480,2010,57,125
tt0978762,Mary & Max\, wenn es regnet (2009),mary max oder schrumpfen schafe wenn es regnet,8.2,77311,2009,video.movie
tt0986264,Taare Zameen Par (2007),http://www.imdb.com/title/tt0986264/,8.6,9900,2007,13,15
tt0993846,The Wolf of Wall Street (2013),http://www.imdb.com/title/tt0993846/,8.4,10800,2013,17,62
tt1010048,Slumdog Millionär (2008),http://www.imdb.com/title/tt1010048/,8.1,7200,2008,114,62
tt1028532,Hachiko - Eine wunderbare Freundschaft (2009),http://www.imdb.com/title/tt1028532/,8.2,5580,2009,0,0
tt1049413,Oben (2009),http://www.imdb.com/title/tt1049413/,8.3,5760,2009,53,37
tt1130884,Shutter Island (2010),http://www.imdb.com/title/tt1130884/,8.1,8280,2010,4,27
tt1170358,Der Hobbit - Smaugs Einöde (2013),http://www.imdb.com/title/tt1170358/,8.1,9660,2013,3,40
tt1187043,3 Idiots (2009),http://www.imdb.com/title/tt1187043/,8.5,10200,2009,20,13
